MemberID,Month,RoundsPlayed,CoachingSessions,TournamentsPlayed
1,2023-01,5,2,0
1,2023-02,4,1,0
1,2023-03,4,0,1
1,2023-04,2,1,0
1,2023-05,2,1,0
1,2023-06,5,1,1
1,2023-07,3,0,0
1,2023-08,5,2,1
1,2023-09,4,0,0
1,2023-10,5,0,0
1,2023-11,5,0,0
1,2023-12,5,1,0
1,2024-01,3,1,0
1,2024-02,4,1,0
1,2024-03,4,0,0
1,2024-04,5,0,0
1,2024-05,2,0,0
1,2024-06,2,0,0
1,2024-07,2,0,1
1,2024-08,2,1,0
1,2024-09,4,0,1
1,2024-10,3,0,0
1,2024-11,5,1,0
1,2024-12,4,0,0
2,2023-01,10,1,0
2,2023-02,6,2,0
2,2023-03,8,1,0
2,2023-04,6,0,1
2,2023-05,8,2,1
2,2023-06,6,2,1
2,2023-07,9,1,0
2,2023-08,11,0,0
2,2023-09,7,1,0
2,2023-10,7,1,1
2,2023-11,9,0,1
2,2023-12,6,0,0
2,2024-01,10,0,1
2,2024-02,7,1,0
2,2024-03,7,1,0
2,2024-04,11,2,0
2,2024-05,10,1,0
2,2024-06,7,2,0
2,2024-07,9,2,1
2,2024-08,9,2,0
2,2024-09,8,0,1
2,2024-10,8,2,1
2,2024-11,11,1,1
2,2024-12,7,2,1
3,2023-01,10,1,0
3,2023-02,11,2,1
3,2023-03,10,0,0
3,2023-04,6,1,0
3,2023-05,7,2,0
3,2023-06,9,1,1
3,2023-07,10,2,0
3,2023-08,10,2,0
3,2023-09,11,1,0
3,2023-10,9,1,0
3,2023-11,11,2,0
3,2023-12,6,2,0
3,2024-01,11,2,0
3,2024-02,8,1,0
3,2024-03,11,1,1
3,2024-04,9,2,0
3,2024-05,10,2,0
3,2024-06,11,1,1
3,2024-07,8,2,1
3,2024-08,6,1,1
3,2024-09,11,1,0
3,2024-10,11,1,0
3,2024-11,7,1,1
3,2024-12,6,0,0
4,2023-01,10,1,0
4,2023-02,11,2,0
4,2023-03,8,1,0
4,2023-04,9,2,1
4,2023-05,10,2,0
4,2023-06,6,1,0
4,2023-07,9,0,1
4,2023-08,8,2,0
4,2023-09,10,1,0
4,2023-10,7,2,1
