MemberID,PlayDate,Course,HolesPlayed,Score,TeeTime
1,18/02/2023,East Course,9,90,Morning
1,20/02/2024,East Course,9,105,Afternoon
1,27/11/2023,West Course,9,87,Morning
1,03/03/2024,East Course,18,89,Morning
1,28/09/2023,East Course,9,78,Afternoon
1,06/10/2024,East Course,9,86,Morning
1,22/10/2023,West Course,18,76,Afternoon
1,17/04/2024,East Course,18,91,Morning
1,17/01/2023,East Course,9,74,Morning
1,13/01/2024,West Course,18,98,Morning
1,08/09/2024,East Course,9,86,Morning
1,03/06/2024,West Course,9,74,Morning
1,13/09/2023,East Course,18,100,Morning
1,12/04/2023,West Course,9,103,Morning
1,01/07/2023,West Course,18,88,Afternoon
1,02/03/2024,West Course,18,99,Morning
1,14/08/2024,West Course,9,93,Morning
1,10/09/2024,East Course,18,94,Afternoon
1,04/08/2024,West Course,9,74,Afternoon
1,30/10/2024,East Course,9,87,Morning
1,10/11/2024,East Course,9,81,Afternoon
1,06/11/2024,West Course,18,82,Afternoon
1,27/09/2023,East Course,18,90,Afternoon
1,21/07/2023,East Course,9,102,Afternoon
1,02/03/2024,East Course,18,72,Morning
1,23/10/2023,East Course,9,82,Morning
1,17/09/2023,West Course,9,105,Afternoon
1,15/03/2024,East Course,9,105,Afternoon
1,27/08/2023,East Course,9,94,Morning
1,22/08/2024,East Course,18,82,Morning
1,21/03/2024,West Course,9,98,Afternoon
1,02/08/2024,West Course,18,99,Morning
1,18/05/2023,East Course,9,79,Morning
1,29/02/2024,East Course,18,73,Morning
1,02/07/2024,East Course,9,89,Afternoon
1,14/12/2023,West Course,9,81,Morning
1,04/03/2023,East Course,18,96,Afternoon
1,03/03/2023,East Course,9,76,Morning
2,30/05/2023,East Course,18,78,Afternoon
2,13/05/2023,West Course,9,104,Afternoon
2,24/09/2024,West Course,9,87,Morning
2,29/09/2023,East Course,18,101,Morning
2,27/08/2024,East Course,18,71,Afternoon
2,29/11/2024,East Course,18,102,Morning
2,22/09/2023,East Course,9,85,Afternoon
2,24/09/2023,West Course,18,100,Morning
2,08/08/2024,West Course,18,83,Afternoon
2,05/04/2024,East Course,18,87,Afternoon
2,11/10/2023,West Course,9,72,Afternoon
2,11/03/2023,West Course,18,84,Morning
2,12/10/2024,West Course,18,90,Afternoon
2,26/06/2023,West Course,9,76,Afternoon
2,29/07/2024,East Course,9,83,Afternoon
2,04/11/2024,West Course,9,73,Afternoon
2,25/11/2023,West Course,18,81,Morning
2,04/11/2023,East Course,9,82,Morning
2,26/07/2024,East Course,18,81,Afternoon
2,14/07/2023,East Course,18,99,Morning
2,28/04/2023,West Course,9,84,Afternoon
2,31/07/2023,West Course,18,93,Afternoon
2,27/12/2023,West Course,9,86,Afternoon
2,20/11/2024,East Course,18,74,Morning
2,07/11/2024,West Course,18,102,Afternoon
2,02/11/2024,West Course,9,87,Afternoon
2,29/02/2024,West Course,9,95,Afternoon
2,12/09/2024,West Course,9,95,Morning
2,23/09/2023,West Course,18,84,Morning
2,23/09/2024,East Course,18,70,Afternoon
2,23/12/2023,West Course,18,83,Afternoon
2,10/08/2023,East Course,18,91,Morning
2,06/09/2024,East Course,9,71,Afternoon
2,08/08/2024,East Course,9,74,Morning
2,16/05/2024,West Course,9,99,Afternoon
2,02/09/2023,West Course,9,104,Afternoon
2,02/06/2023,West Course,18,94,Morning
2,09/11/2023,West Course,9,94,Morning
2,07/10/2024,West Course,9,99,Morning
2,03/08/2024,West Course,18,78,Afternoon
2,04/11/2023,West Course,18,75,Afternoon
2,21/03/2023,East Course,9,91,Afternoon
2,02/03/2024,East Course,18,105,Afternoon
2,05/04/2023,East Course,18,86,Afternoon
3,20/09/2023,West Course,18,76,Morning
3,01/01/2024,West Course,18,85,Morning
3,26/01/2023,West Course,9,72,Afternoon
3,25/09/2024,West Course,18,78,Afternoon
3,18/09/2024,East Course,9,83,Afternoon
3,05/11/2023,East Course,18,86,Afternoon
3,03/06/2024,West Course,9,75,Afternoon
3,06/01/2024,East Course,9,71,Morning
3,06/10/2024,East Course,9,92,Afternoon
3,11/08/2024,West Course,18,101,Afternoon
3,22/09/2023,East Course,18,98,Afternoon
3,15/11/2023,East Course,9,75,Morning
3,05/11/2024,East Course,9,79,Afternoon
3,31/01/2023,West Course,18,74,Afternoon
3,12/07/2023,West Course,18,82,Afternoon
3,02/06/2023,West Course,9,88,Morning
3,01/06/2024,West Course,18,104,Afternoon
3,12/09/2023,West Course,9,70,Morning
3,26/10/2024,West Course,18,88,Afternoon
3,19/07/2023,East Course,9,80,Afternoon
3,05/03/2023,East Course,18,78,Morning
3,05/05/2023,East Course,18,91,Afternoon
3,25/06/2023,East Course,9,88,Morning
3,17/11/2024,West Course,9,75,Morning
3,08/03/2023,East Course,9,81,Morning
3,08/04/2024,East Course,9,99,Morning
3,12/12/2023,East Course,9,82,Afternoon
3,15/02/2024,East Course,18,93,Morning
3,08/02/2023,East Course,18,97,Morning
3,02/06/2024,East Course,18,94,Morning
3,12/11/2024,East Course,18,92,Afternoon
3,13/11/2023,East Course,18,73,Afternoon
3,16/07/2024,East Course,18,79,Afternoon
4,26/08/2024,West Course,18,99,Morning
4,29/04/2023,West Course,9,93,Morning
4,22/11/2023,East Course,9,79,Morning
4,12/09/2023,East Course,9,96,Afternoon
4,24/08/2024,West Course,9,82,Afternoon
4,24/06/2024,East Course,9,94,Afternoon
4,16/06/2024,East Course,18,71,Morning
4,29/07/2024,West Course,18,74,Morning
4,17/08/2023,East Course,18,104,Afternoon
4,19/12/2023,East Course,9,84,Afternoon
4,04/05/2023,West Course,9,84,Morning
4,23/02/2024,West Course,9,100,Afternoon
4,03/10/2023,East Course,9,93,Afternoon
4,26/01/2023,West Course,18,97,Afternoon
4,03/02/2023,East Course,18,77,Afternoon
4,28/06/2024,East Course,18,100,Afternoon
4,24/08/2024,East Course,9,75,Afternoon
4,08/07/2024,West Course,9,88,Morning
4,02/03/2024,West Course,9,71,Afternoon
4,11/12/2023,West Course,18,83,Morning
4,03/09/2023,West Course,9,79,Morning
4,26/10/2024,East Course,9,85,Morning
4,09/09/2023,West Course,18,98,Afternoon
4,29/07/2023,West Course,18,74,Afternoon
4,27/05/2023,East Course,9,100,Morning
4,15/04/2023,West Course,9,105,Afternoon
4,25/01/2024,East Course,18,82,Morning
4,11/10/2023,East Course,18,71,Afternoon
4,27/02/2023,West Course,18,99,Morning
4,01/12/2024,West Course,9,83,Afternoon
