MemberID,Month,MembershipFee,ProShopSpend,F&BSpend,CoachingRevenue
1,2023-01,291.67,120.62,114.32,160
1,2023-02,291.67,232.04,104.6,80
1,2023-03,291.67,201.34,123.89,0
1,2023-04,291.67,107.94,42.48,80
1,2023-05,291.67,44.13,63.5,80
1,2023-06,291.67,136.12,145.99,80
1,2023-07,291.67,147.72,59.44,0
1,2023-08,291.67,194.84,182.76,160
1,2023-09,291.67,183.13,125.02,0
1,2023-10,291.67,115.39,162.04,0
1,2023-11,291.67,214.49,175.5,0
1,2023-12,291.67,225.18,185.75,80
1,2024-01,291.67,115.43,119.28,80
1,2024-02,291.67,230.25,139.88,80
1,2024-03,291.67,94.17,63.76,0
1,2024-04,291.67,296.82,171.03,0
1,2024-05,291.67,98.58,30.17,0
1,2024-06,291.67,63.7,41.68,0
1,2024-07,291.67,43.61,35.47,0
1,2024-08,291.67,116,69.32,80
1,2024-09,291.67,221.47,120.08,0
1,2024-10,291.67,178.94,62.38,0
1,2024-11,291.67,266.13,90.04,80
1,2024-12,291.67,109.83,137.96,0
2,2023-01,291.67,407.3,299.32,80
2,2023-02,291.67,301.98,194.4,160
2,2023-03,291.67,231.62,227.39,80
2,2023-04,291.67,229.78,148.68,0
2,2023-05,291.67,465.81,292.43,160
2,2023-06,291.67,296.45,132.21,160
2,2023-07,291.67,440.43,246.57,80
2,2023-08,291.67,613.57,437.66,0
2,2023-09,291.67,305.87,249.32,80
2,2023-10,291.67,345.49,196.22,80
2,2023-11,291.67,435.01,323.33,0
2,2023-12,291.67,287.76,118.38,0
2,2024-01,291.67,211.7,356.45,0
2,2024-02,291.67,394.44,105.2,80
2,2024-03,291.67,141.79,155.23,80
2,2024-04,291.67,270.97,268.59,160
2,2024-05,291.67,504.41,285.32,80
2,2024-06,291.67,400.97,122.94,160
2,2024-07,291.67,521.03,172.43,160
2,2024-08,291.67,304.52,274.71,160
2,2024-09,291.67,376.34,209.19,0
2,2024-10,291.67,167.87,124.42,160
2,2024-11,291.67,331.1,165.28,80
2,2024-12,291.67,259.33,183.99,160
3,2023-01,416.67,232.95,320.12,80
3,2023-02,416.67,643.82,173.61,160
3,2023-03,416.67,455.41,249.4,0
3,2023-04,416.67,196.98,198.66,80
3,2023-05,416.67,322.47,169.49,160
3,2023-06,416.67,246.79,330.44,80
3,2023-07,416.67,412.14,154.47,160
3,2023-08,416.67,568.34,304.16,160
3,2023-09,416.67,483.26,332.01,80
3,2023-10,416.67,356.97,149.45,80
3,2023-11,416.67,410.63,435.7,160
3,2023-12,416.67,214.2,161.99,160
