MemberID,Month,Status
1,2023-01,Active
1,2023-02,Active
1,2023-03,Active
1,2023-04,Active
1,2023-05,Active
1,2023-06,Active
1,2023-07,Active
1,2023-08,Active
1,2023-09,Active
1,2023-10,Active
1,2023-11,Active
1,2023-12,Active
1,2024-01,Active
1,2024-02,Active
1,2024-03,Active
1,2024-04,Active
1,2024-05,Active
1,2024-06,Active
1,2024-07,Active
1,2024-08,Active
1,2024-09,Active
1,2024-10,Active
1,2024-11,Active
1,2024-12,Active
2,2023-01,Active
2,2023-02,Active
2,2023-03,Active
2,2023-04,Active
2,2023-05,Active
2,2023-06,Active
2,2023-07,Active
2,2023-08,Active
2,2023-09,Active
2,2023-10,Active
2,2023-11,Active
2,2023-12,Active
2,2024-01,Active
2,2024-02,Active
2,2024-03,Active
2,2024-04,Active
2,2024-05,Active
2,2024-06,Active
2,2024-07,Active
2,2024-08,Active
2,2024-09,Active
2,2024-10,Active
2,2024-11,Active
2,2024-12,Active
3,2023-01,Active
3,2023-02,Active
3,2023-03,Active
3,2023-04,Active
3,2023-05,Active
3,2023-06,Active
3,2023-07,Active
3,2023-08,Active
3,2023-09,Active
3,2023-10,Active
3,2023-11,Active
3,2023-12,Active
3,2024-01,Active
3,2024-02,Active
3,2024-03,Active
3,2024-04,Active
3,2024-05,Active
3,2024-06,Active
3,2024-07,Active
3,2024-08,Active
3,2024-09,Active
3,2024-10,Active
3,2024-11,Active
3,2024-12,Active
4,2023-01,Active
4,2023-02,Active
4,2023-03,Active
4,2023-04,Active
4,2023-05,Active
4,2023-06,Active
4,2023-07,Active
4,2023-08,Active
4,2023-09,Active
4,2023-10,Active
4,2023-11,Active
4,2023-12,Active
4,2024-01,Active
4,2024-02,Active
4,2024-03,Active
4,2024-04,Active
4,2024-05,Active
4,2024-06,Active
4,2024-07,Active
4,2024-08,Active
4,2024-09,Active
4,2024-10,Active
4,2024-11,Active
4,2024-12,Active
5,2023-01,At-Risk
5,2023-02,At-Risk
5,2023-03,Churned
5,2023-04,At-Risk
5,2023-05,At-Risk
5,2023-06,At-Risk
5,2023-07,Churned
5,2023-08,Churned
5,2023-09,At-Risk
5,2023-10,At-Risk
5,2023-11,At-Risk
5,2023-12,At-Risk
5,2024-01,At-Risk
5,2024-02,At-Risk
5,2024-03,At-Risk
5,2024-04,At-Risk
5,2024-05,At-Risk
5,2024-06,At-Risk
5,2024-07,At-Risk
5,2024-08,At-Risk
5,2024-09,At-Risk
5,2024-10,At-Risk
5,2024-11,Churned
5,2024-12,Churned
6,2023-01,Active
6,2023-02,Active
6,2023-03,Active
6,2023-04,Active
6,2023-05,Active
6,2023-06,Active
6,2023-07,Active
6,2023-08,Active
6,2023-09,Active
6,2023-10,Active
6,2023-11,Active
6,2023-12,Active
6,2024-01,Active
6,2024-02,Active
6,2024-03,Active
6,2024-04,Active
6,2024-05,Active
6,2024-06,Active
6,2024-07,Active
6,2024-08,Active
6,2024-09,Active
6,2024-10,Active
6,2024-11,Active
6,2024-12,Active
7,2023-01,Active
7,2023-02,Active
7,2023-03,Active
7,2023-04,Active
7,2023-05,Active
7,2023-06,Active
7,2023-07,Active
7,2023-08,Active
7,2023-09,Active
7,2023-10,Active
7,2023-11,Active
7,2023-12,Active
7,2024-01,Active
7,2024-02,Active
7,2024-03,Active
7,2024-04,Active
7,2024-05,Active
7,2024-06,Active
7,2024-07,Active
7,2024-08,Active
7,2024-09,Active
7,2024-10,Active
7,2024-11,Active
7,2024-12,Active
8,2023-01,Active
8,2023-02,Active
8,2023-03,Active
8,2023-04,Active
8,2023-05,Active
8,2023-06,Active
8,2023-07,Active
8,2023-08,Active
8,2023-09,Active
8,2023-10,Active
8,2023-11,Active
8,2023-12,Active
8,2024-01,Active
8,2024-02,Active
8,2024-03,Active
8,2024-04,Active
8,2024-05,Active
8,2024-06,Active
8,2024-07,Active
8,2024-08,Active
8,2024-09,Active
8,2024-10,Active
8,2024-11,Active
8,2024-12,Active
9,2023-01,At-Risk
9,2023-02,Churned
9,2023-03,At-Risk
9,2023-04,At-Risk
9,2023-05,At-Risk
9,2023-06,At-Risk
9,2023-07,At-Risk
9,2023-08,At-Risk
9,2023-09,At-Risk
9,2023-10,At-Risk
9,2023-11,At-Risk
9,2023-12,At-Risk
9,2024-01,Churned
9,2024-02,At-Risk
9,2024-03,At-Risk
9,2024-04,At-Risk
9,2024-05,At-Risk
9,2024-06,At-Risk
9,2024-07,Churned
9,2024-08,At-Risk
9,2024-09,At-Risk
9,2024-10,At-Risk
9,2024-11,Churned
9,2024-12,At-Risk
10,2023-01,Active
10,2023-02,Active
10,2023-03,Active
10,2023-04,Active
10,2023-05,Active
10,2023-06,Active
10,2023-07,Active
10,2023-08,Active
10,2023-09,Active
10,2023-10,Active
10,2023-11,Active
10,2023-12,Active
10,2024-01,Active
10,2024-02,Active
10,2024-03,Active
10,2024-04,Active
10,2024-05,Active
10,2024-06,Active
10,2024-07,Active
10,2024-08,Active
10,2024-09,Active
10,2024-10,Active
10,2024-11,Active
10,2024-12,Active
11,2023-01,At-Risk
11,2023-02,At-Risk
11,2023-03,At-Risk
11,2023-04,At-Risk
11,2023-05,Churned
11,2023-06,At-Risk
11,2023-07,At-Risk
11,2023-08,Churned
11,2023-09,At-Risk
11,2023-10,At-Risk
11,2023-11,At-Risk
11,2023-12,Churned
11,2024-01,At-Risk
11,2024-02,At-Risk
11,2024-03,At-Risk
11,2024-04,At-Risk
11,2024-05,At-Risk
11,2024-06,At-Risk
11,2024-07,At-Risk
11,2024-08,At-Risk
11,2024-09,At-Risk
11,2024-10,At-Risk
11,2024-11,At-Risk
11,2024-12,At-Risk
12,2023-01,At-Risk
12,2023-02,At-Risk
12,2023-03,At-Risk
12,2023-04,At-Risk
12,2023-05,Churned
12,2023-06,At-Risk
12,2023-07,At-Risk
12,2023-08,At-Risk
12,2023-09,At-Risk
12,2023-10,At-Risk
12,2023-11,Churned
12,2023-12,Churned
12,2024-01,At-Risk
12,2024-02,At-Risk
12,2024-03,At-Risk
12,2024-04,At-Risk
12,2024-05,At-Risk
12,2024-06,At-Risk
12,2024-07,Churned
12,2024-08,Churned
12,2024-09,At-Risk
12,2024-10,At-Risk
12,2024-11,At-Risk
12,2024-12,At-Risk
13,2023-01,Active
13,2023-02,Active
13,2023-03,Active
13,2023-04,Active
13,2023-05,Active
13,2023-06,Active
13,2023-07,Active
13,2023-08,Active
13,2023-09,Active
13,2023-10,Active
13,2023-11,Active
13,2023-12,Active
13,2024-01,Active
13,2024-02,Active
13,2024-03,Active
13,2024-04,Active
13,2024-05,Active
13,2024-06,Active
13,2024-07,Active
13,2024-08,Active
13,2024-09,Active
13,2024-10,Active
13,2024-11,Active
13,2024-12,Active
14,2023-01,Active
14,2023-02,Active
14,2023-03,Active
14,2023-04,Active
14,2023-05,Active
14,2023-06,Active
14,2023-07,Active
14,2023-08,Active
14,2023-09,Active
14,2023-10,Active
14,2023-11,Active
14,2023-12,Active
14,2024-01,Active
14,2024-02,Active
14,2024-03,Active
14,2024-04,Active
14,2024-05,Active
14,2024-06,Active
14,2024-07,Active
14,2024-08,Active
14,2024-09,Active
14,2024-10,Active
14,2024-11,Active
14,2024-12,Active
15,2023-01,At-Risk
15,2023-02,At-Risk
15,2023-03,At-Risk
15,2023-04,At-Risk
15,2023-05,At-Risk
15,2023-06,At-Risk
15,2023-07,At-Risk
15,2023-08,At-Risk
15,2023-09,Churned
15,2023-10,At-Risk
15,2023-11,At-Risk
15,2023-12,Churned
15,2024-01,At-Risk
15,2024-02,At-Risk
15,2024-03,At-Risk
15,2024-04,At-Risk
15,2024-05,Churned
15,2024-06,At-Risk
15,2024-07,At-Risk
15,2024-08,At-Risk
15,2024-09,At-Risk
15,2024-10,At-Risk
15,2024-11,At-Risk
15,2024-12,At-Risk
16,2023-01,Active
16,2023-02,Active
16,2023-03,Active
16,2023-04,Active
16,2023-05,Active
16,2023-06,Active
16,2023-07,Active
16,2023-08,Active
16,2023-09,Active
16,2023-10,Active
16,2023-11,Active
16,2023-12,Active
16,2024-01,Active
16,2024-02,Active
16,2024-03,Active
16,2024-04,Active
16,2024-05,Active
16,2024-06,Active
16,2024-07,Active
16,2024-08,Active
16,2024-09,Active
16,2024-10,Active
16,2024-11,Active
16,2024-12,Active
17,2023-01,Active
17,2023-02,Active
17,2023-03,Active
17,2023-04,Active
17,2023-05,Active
17,2023-06,Active
17,2023-07,Active
17,2023-08,Active
17,2023-09,Active
17,2023-10,Active
17,2023-11,Active
17,2023-12,Active
17,2024-01,Active
17,2024-02,Active
17,2024-03,Active
17,2024-04,Active
17,2024-05,Active
17,2024-06,Active
17,2024-07,Active
17,2024-08,Active
17,2024-09,Active
17,2024-10,Active
17,2024-11,Active
17,2024-12,Active
18,2023-01,At-Risk
18,2023-02,At-Risk
18,2023-03,Churned
18,2023-04,Churned
18,2023-05,At-Risk
18,2023-06,At-Risk
18,2023-07,Churned
18,2023-08,At-Risk
18,2023-09,At-Risk
18,2023-10,At-Risk
18,2023-11,At-Risk
18,2023-12,At-Risk
18,2024-01,At-Risk
18,2024-02,At-Risk
18,2024-03,Churned
18,2024-04,At-Risk
18,2024-05,Churned
18,2024-06,At-Risk
18,2024-07,At-Risk
18,2024-08,At-Risk
18,2024-09,At-Risk
18,2024-10,At-Risk
18,2024-11,At-Risk
18,2024-12,At-Risk
19,2023-01,Active
19,2023-02,Active
19,2023-03,Active
19,2023-04,Active
19,2023-05,Active
19,2023-06,Active
19,2023-07,Active
19,2023-08,Active
19,2023-09,Active
19,2023-10,Active
19,2023-11,Active
19,2023-12,Active
19,2024-01,Active
19,2024-02,Active
19,2024-03,Active
19,2024-04,Active
19,2024-05,Active
19,2024-06,Active
19,2024-07,Active
19,2024-08,Active
19,2024-09,Active
19,2024-10,Active
19,2024-11,Active
19,2024-12,Active
20,2023-01,Active
20,2023-02,Active
20,2023-03,Active
